stnID,Location,stnNum,latitude,longitude,postcode,state
2002,Albury,72160,-36.069,146.9509,2640,nsw
2005,BadgerysCreek,67108,-33.8969,150.7281,2555,nsw
2029,Cobar,48027,-31.484,145.8294,2422,nsw
2030,CoffsHarbour,59040,-30.3107,153.1187,2450,nsw
2084,Moree,53115,-29.4914,149.8458,2400,nsw
2098,Newcastle,61390,-32.8905,151.707,2300,nsw
2099,NorahHead,61366,-33.2815,151.5766,2263,nsw
2100,NorfolkIsland,200288,-29.0389,167.9408,2899,at
2111,Penrith,67113,-33.7195,150.6783,2751,nsw
2119,Richmond,67105,-33.6004,150.7761,2753,nsw
2124,Sydney,66062,-33.8607,151.205,2000,nsw
2125,SydneyAirport,66037,-33.9411,151.1725,2020,nsw
2139,WaggaWagga,72150,-35.1583,147.4573,2650,nsw
2145,Williamtown,61078,-32.7932,151.8359,2318,nsw
2146,Wollongong,68228,-34.3691,150.9291,2500,nsw
2801,Canberra,70014,-35.3049,149.2014,2600,ACT
2802,Tuggeranong,70339,-35.4184,149.0937,2901,ACT
2804,MountGinini,70349,-35.5293,148.7721,2603,ACT
3005,Ballarat,89002,-37.5127,143.7911,3350,vic
3008,Bendigo,81123,-36.7395,144.3266,3550,vic
3022,Sale,85072,-38.1156,147.1322,3850,vic
3049,MelbourneAirport,86282,-37.6655,144.8321,3045,vic
3050,Melbourne,86071,-37.8075,144.97,3000,vic
3051,Mildura,76031,-34.2358,142.0867,3500,vic
3059,Nhil,78015,-36.3092,141.6486,3418,vic
3068,Portland,90171,-38.3148,141.4705,3305,vic
3079,Watsonia,86068,-37.7408,145.0972,3087,vic
3101,Dartmoor,90194,-37.9222,141.2614,3304,vic
4019,Brisbane,40913,-27.4808,153.0389,4000,qld
4024,Cairns,31011,-16.8736,145.7458,4870,qld
4050,GoldCoast,40764,-27.939,153.4283,4217,qld
4128,Townsville,32040,-19.2483,146.7661,4810,qld
5002,Adelaide,23090,-34.9211,138.6216,5000,sa
5041,MountGambier,26021,-37.7473,140.7739,5290,sa
5049,Nuriootpa,23373,-34.4761,139.0056,5355,sa
5072,Woomera,16001,-31.1558,136.8054,5720,sa
6001,Albany,9500,-35.0289,117.8808,6330,wa
6081,Witchcliffe,9746,-34.0281,115.1042,6286,wa
6108,PearceRAAF,9053,-31.6669,116.0189,6084,wa
6110,PerthAirport,9021,-31.9275,115.9764,6105,wa
6111,Perth,9225,-31.9192,115.8728,6000,wa
6119,SalmonGums,12071,-32.9869,121.6239,6445,wa
6138,Walpole,9998,-34.9469,116.7222,6398,wa
7021,Hobart,94029,-42.8897,147.3278,7000,tas
7025,Launceston,91237,-41.4194,147.1222,7250,tas
8002,AliceSprings,15590,-23.7951,133.889,0870,nt
8014,Darwin,14015,-12.4239,130.8925,0800,nt
8024,Katherine,14903,-14.4437,132.2737,0850,nt
8056,Uluru,15635,-25.1896,130.9737,0872,nt
